CHR	BP	aa
1	57216742	1:57216742
1	57216770	1:57216770
1	57250647	1:57250647
1	57250678	1:57250678
1	57367087	1:57367087
1	57392751	1:57392751
1	57392762	1:57392762
1	57431423	1:57431423
1	57636070	1:57636070
1	57798313	1:57798313
1	57798342	1:57798342
1	57844852	1:57844852
1	57844866	1:57844866
1	57871944	1:57871944
1	57974690	1:57974690
1	58075131	1:58075131
1	58101052	1:58101052
1	58109539	1:58109539
1	58109559	1:58109559
1	58126239	1:58126239
1	58184586	1:58184586
1	58184599	1:58184599
1	58221635	1:58221635
1	58392499	1:58392499
1	58426509	1:58426509
1	58458036	1:58458036
1	58502681	1:58502681
1	58798325	1:58798325
1	58851359	1:58851359
1	58926157	1:58926157
1	58929440	1:58929440
1	58987098	1:58987098
1	59052541	1:59052541
1	59142299	1:59142299
1	59142301	1:59142301
1	59142370	1:59142370
1	59204072	1:59204072
1	59204358	1:59204358
1	59207001	1:59207001
1	59242142	1:59242142
1	59242295	1:59242295
1	59683436	1:59683436
1	59683453	1:59683453
1	59966261	1:59966261
1	59966297	1:59966297
1	59993871	1:59993871
1	59993886	1:59993886
1	60364938	1:60364938
1	60410635	1:60410635
1	60619147	1:60619147
1	60907916	1:60907916
1	61062936	1:61062936
1	61096810	1:61096810
1	61096811	1:61096811
1	61098037	1:61098037
1	61098048	1:61098048
1	61257164	1:61257164
1	61473031	1:61473031
1	61473446	1:61473446
1	61473474	1:61473474
1	61473481	1:61473481
1	61503500	1:61503500
1	61647934	1:61647934
1	61815470	1:61815470
1	61815479	1:61815479
1	61815514	1:61815514
1	61857957	1:61857957
1	61919703	1:61919703
1	62006422	1:62006422
1	62006425	1:62006425
1	62048887	1:62048887
1	62123843	1:62123843
1	62164485	1:62164485
1	62164506	1:62164506
1	62164508	1:62164508
1	62309578	1:62309578
1	62547324	1:62547324
1	62547367	1:62547367
1	63146313	1:63146313
1	63486692	1:63486692
1	63561735	1:63561735
1	63622345	1:63622345
1	63641709	1:63641709
1	63641727	1:63641727
1	63802916	1:63802916
1	63806371	1:63806371
1	63818536	1:63818536
1	63887229	1:63887229
1	63887237	1:63887237
1	63944627	1:63944627
1	63944639	1:63944639
1	64088642	1:64088642
1	64141477	1:64141477
1	64144753	1:64144753
1	64386175	1:64386175
1	64645577	1:64645577
1	64645580	1:64645580
1	64740668	1:64740668
1	64767722	1:64767722
1	64767777	1:64767777
1	64836107	1:64836107
1	64897512	1:64897512
1	64897545	1:64897545
1	65023409	1:65023409
1	65184949	1:65184949
1	65184995	1:65184995
1	65275667	1:65275667
1	65380737	1:65380737
1	65380834	1:65380834
1	65386431	1:65386431
1	65386650	1:65386650
1	65398720	1:65398720
1	65413527	1:65413527
1	65413577	1:65413577
1	65455022	1:65455022
1	65455056	1:65455056
1	65597876	1:65597876
1	65831489	1:65831489
1	65870089	1:65870089
1	65870141	1:65870141
1	65931210	1:65931210
1	65931216	1:65931216
1	65931229	1:65931229
1	65931298	1:65931298
1	65999849	1:65999849
1	65999872	1:65999872
1	66346564	1:66346564
1	66346569	1:66346569
1	66346596	1:66346596
1	66387203	1:66387203
1	66387215	1:66387215
1	66434113	1:66434113
1	66434224	1:66434224
1	66440945	1:66440945
1	66697104	1:66697104
1	66720185	1:66720185
1	66733780	1:66733780
1	66733806	1:66733806
1	66752390	1:66752390
1	66774228	1:66774228
1	66828501	1:66828501
1	66828503	1:66828503
1	66896638	1:66896638
1	66896659	1:66896659
1	66897011	1:66897011
1	66956909	1:66956909
1	66956955	1:66956955
1	67016925	1:67016925
1	67065178	1:67065178
1	67165838	1:67165838
1	67165839	1:67165839
1	67179451	1:67179451
1	67202561	1:67202561
1	67202594	1:67202594
1	67235454	1:67235454
1	67235469	1:67235469
1	67240416	1:67240416
1	67246357	1:67246357
1	67246366	1:67246366
1	67257695	1:67257695
1	67257742	1:67257742
1	67261693	1:67261693
1	67261695	1:67261695
1	67261698	1:67261698
1	67261760	1:67261760
1	67261768	1:67261768
1	67261771	1:67261771
1	67269728	1:67269728
1	67271518	1:67271518
1	67313341	1:67313341
1	67315926	1:67315926
1	67315953	1:67315953
1	67373927	1:67373927
1	67374240	1:67374240
1	67458096	1:67458096
1	67458119	1:67458119
1	67458132	1:67458132
1	67480685	1:67480685
1	67480733	1:67480733
1	67491853	1:67491853
1	67491876	1:67491876
1	67507859	1:67507859
1	67507869	1:67507869
1	67760121	1:67760121
1	67760144	1:67760144
1	67760166	1:67760166
1	67796025	1:67796025
1	67916320	1:67916320
1	67916337	1:67916337
1	67936416	1:67936416
1	68040704	1:68040704
1	68040742	1:68040742
1	68121495	1:68121495
1	68121497	1:68121497
1	68137244	1:68137244
1	68206787	1:68206787
1	68206799	1:68206799
1	68226115	1:68226115
1	68256859	1:68256859
1	68305046	1:68305046
1	68305058	1:68305058
1	68473999	1:68473999
1	68474006	1:68474006
1	68474043	1:68474043
1	68492947	1:68492947
1	68492948	1:68492948
1	68710008	1:68710008
1	68862434	1:68862434
1	68866803	1:68866803
1	69016102	1:69016102
1	69060799	1:69060799
1	69071281	1:69071281
1	69090309	1:69090309
1	69165869	1:69165869
1	69364635	1:69364635
1	69364678	1:69364678
1	69476452	1:69476452
1	69564646	1:69564646
1	69669123	1:69669123
1	69782192	1:69782192
1	69782194	1:69782194
1	69785594	1:69785594
1	69982833	1:69982833
1	69982834	1:69982834
1	69982864	1:69982864
1	70013100	1:70013100
1	70038151	1:70038151
1	70126818	1:70126818
1	70126836	1:70126836
1	70196470	1:70196470
1	70196480	1:70196480
1	70210804	1:70210804
1	70310913	1:70310913
1	70310942	1:70310942
1	70360661	1:70360661
1	70360662	1:70360662
1	70360699	1:70360699
1	70360709	1:70360709
1	70502962	1:70502962
1	70504021	1:70504021
1	70510727	1:70510727
1	70535238	1:70535238
1	70535242	1:70535242
1	70624620	1:70624620
1	70624657	1:70624657
1	70682573	1:70682573
1	70682596	1:70682596
1	70838372	1:70838372
1	70845497	1:70845497
1	70845536	1:70845536
1	70950834	1:70950834
1	70995650	1:70995650
1	71019332	1:71019332
1	71019375	1:71019375
1	71052948	1:71052948
1	71112019	1:71112019
1	71175751	1:71175751
1	71274371	1:71274371
1	71274376	1:71274376
1	71274405	1:71274405
1	71275572	1:71275572
1	71275589	1:71275589
1	71414330	1:71414330
1	71421116	1:71421116
1	71421140	1:71421140
1	71440390	1:71440390
1	71440416	1:71440416
1	71441592	1:71441592
1	71441597	1:71441597
1	71525551	1:71525551
1	71560562	1:71560562
1	71560586	1:71560586
1	71712748	1:71712748
1	71822958	1:71822958
1	71822961	1:71822961
1	71830258	1:71830258
1	72577389	1:72577389
1	72691135	1:72691135
1	72712976	1:72712976
1	72817914	1:72817914
1	72968137	1:72968137
1	73049343	1:73049343
1	73057947	1:73057947
1	73077748	1:73077748
1	73128220	1:73128220
1	73150105	1:73150105
1	73168004	1:73168004
1	73333312	1:73333312
1	73395872	1:73395872
1	73408773	1:73408773
1	73425849	1:73425849
1	73452790	1:73452790
1	73526143	1:73526143
1	73529645	1:73529645
1	73536437	1:73536437
1	73583459	1:73583459
1	73600323	1:73600323
1	74065870	1:74065870
1	74196052	1:74196052
1	74196062	1:74196062
1	74245466	1:74245466
1	74249379	1:74249379
1	74249422	1:74249422
1	74291740	1:74291740
1	74291763	1:74291763
1	74291786	1:74291786
1	74421798	1:74421798
1	74421826	1:74421826
1	74422418	1:74422418
1	74422442	1:74422442
1	74470632	1:74470632
1	74524789	1:74524789
1	74525455	1:74525455
1	74525471	1:74525471
1	74549289	1:74549289
1	74549310	1:74549310
1	74550859	1:74550859
1	74653306	1:74653306
1	74675743	1:74675743
1	74691224	1:74691224
1	74760187	1:74760187
1	74781171	1:74781171
1	74823791	1:74823791
1	75020912	1:75020912
1	75145261	1:75145261
1	75185803	1:75185803
1	75185804	1:75185804
1	75193674	1:75193674
1	75234375	1:75234375
1	75336249	1:75336249
1	75336291	1:75336291
1	75336315	1:75336315
1	75352289	1:75352289
1	75380340	1:75380340
1	75485917	1:75485917
1	75485922	1:75485922
1	75485990	1:75485990
1	75485993	1:75485993
1	75487809	1:75487809
1	75505008	1:75505008
1	75550434	1:75550434
1	75635351	1:75635351
1	75635369	1:75635369
1	75635370	1:75635370
1	75638404	1:75638404
1	75638415	1:75638415
1	75814357	1:75814357
1	75814386	1:75814386
1	75814399	1:75814399
1	75900687	1:75900687
1	75900689	1:75900689
1	75902693	1:75902693
1	75931533	1:75931533
1	75931540	1:75931540
1	75931554	1:75931554
1	76118607	1:76118607
1	76118630	1:76118630
1	76506693	1:76506693
1	76506697	1:76506697
1	76576622	1:76576622
1	76576632	1:76576632
1	76617863	1:76617863
1	76671999	1:76671999
1	76738510	1:76738510
1	76775229	1:76775229
1	76784914	1:76784914
1	76831125	1:76831125
1	76831953	1:76831953
1	76831959	1:76831959
1	76917924	1:76917924
1	76952399	1:76952399
1	77046457	1:77046457
1	77046485	1:77046485
1	77053547	1:77053547
1	77053570	1:77053570
1	77070623	1:77070623
1	77070624	1:77070624
1	77073879	1:77073879
1	77073910	1:77073910
1	77073915	1:77073915
1	77123921	1:77123921
1	77123940	1:77123940
1	77123963	1:77123963
1	77123973	1:77123973
1	77641041	1:77641041
1	77717810	1:77717810
1	77717830	1:77717830
1	77749505	1:77749505
1	77749550	1:77749550
1	77783860	1:77783860
1	77783902	1:77783902
1	77783905	1:77783905
1	77796283	1:77796283
1	77809956	1:77809956
1	78055246	1:78055246
1	78055250	1:78055250
1	78055259	1:78055259
1	78060032	1:78060032
1	78067080	1:78067080
1	78287688	1:78287688
1	78287701	1:78287701
1	78418687	1:78418687
1	78423648	1:78423648
1	78423672	1:78423672
1	78698412	1:78698412
1	78726864	1:78726864
1	78751341	1:78751341
1	78780049	1:78780049
1	78780072	1:78780072
1	78800685	1:78800685
1	78851239	1:78851239
1	78854779	1:78854779
1	78876369	1:78876369
